POS,PLAYER,AVG,MAT,INNS,NO,RUNS,HS,BF,SR,100,50,4S,6S
1,"Tim David
RCB",93.00,11,8,6,186,50*,96,193.75,0,1,16,14
2,"Jos Buttler
GT",71.43,11,11,4,500,97*,305,163.93,0,5,49,22
3,"Surya Kumar Yadav
MI",63.75,12,12,4,510,68*,299,170.56,0,3,51,26
4,"Virat Kohli
RCB",63.13,11,11,3,505,73*,352,143.46,0,7,44,18
5,"Manish Pandey
KKR",55.00,2,2,1,55,36*,42,130.95,0,0,3,2
6,"Shashank Singh
PBKS",53.50,12,9,5,214,52*,150,142.66,0,1,15,9
7,"Tristan Stubbs
DC",51.80,12,10,5,259,41*,171,151.46,0,0,23,9
8,"Shubman Gill
GT",50.80,11,11,1,508,90,333,152.55,0,5,51,16
9,"Shreyas Iyer
PBKS",50.63,12,11,3,405,97*,224,180.80,0,4,27,27
10,"K L Rahul
DC",47.63,11,10,2,381,93*,268,142.16,0,3,30,16
11,"Sai Sudharsan
GT",46.27,11,11,0,509,82,332,153.31,0,5,56,16
12,"Prabhsimran Singh
PBKS",44.27,12,12,1,487,91,285,170.87,0,5,52,24
13,"Yashasvi Jaiswal
RR",43.00,12,12,1,473,75,306,154.57,0,5,46,25
14,"Nicholas Pooran
LSG",41.00,11,11,1,410,87*,204,200.98,0,4,34,34
15,"Vijay Shankar
CSK",39.33,6,5,2,118,69*,91,129.67,0,1,8,3
16,"Sherfane Rutherford
GT",38.17,9,8,2,229,46,144,159.02,0,0,17,15
17,"Mitchell Marsh
LSG",37.80,10,10,0,378,81,243,155.55,0,4,36,20
18,"Riyan Parag
RR",37.70,12,12,2,377,95,221,170.58,0,1,27,26
19,"Ajinkya Rahane
KKR",37.50,12,11,1,375,61,256,146.48,0,3,33,20
20,"Sanju Samson
RR",37.33,7,7,1,224,66,156,143.58,0,1,23,10
