No,Match_No,Team1,Team2,Date,Time,Venue,Status
1,Match 59,Lucknow Super Giants,Royal Challengers Bangalore,2025-05-09,7:30 pm IST,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Scheduled
2,Match 60,Sunrisers Hyderabad,Kolkata Knight Riders,2025-05-10,7:30 pm IST,"Rajiv Gandhi International Stadium, Hyderabad",Scheduled
3,Match 61,Punjab Kings,Mumbai Indians,2025-05-11,3:30 pm IST,"Narendra Modi Stadium, Ahmedabad",Scheduled
4,Match 62,Delhi Capitals,Gujarat Titans,2025-05-11,7:30 pm IST,"Arun Jaitley Stadium, Delhi",Scheduled
5,Match 63,Chennai Super Kings,Rajasthan Royals,2025-05-12,7:30 pm IST,"MA Chidambaram Stadium, Chennai",Scheduled
6,Match 64,Royal Challengers Bangalore,Sunrisers Hyderabad,2025-05-13,7:30 pm IST,"M Chinnaswamy Stadium, Bengaluru",Scheduled
7,Match 65,Gujarat Titans,Lucknow Super Giants,2025-05-14,7:30 pm IST,"Narendra Modi Stadium, Ahmedabad",Scheduled
8,Match 66,Mumbai Indians,Delhi Capitals,2025-05-15,7:30 pm IST,"Wankhede Stadium, Mumbai",Scheduled
9,Match 67,Rajasthan Royals,Punjab Kings,2025-05-16,7:30 pm IST,"Sawai Mansingh Stadium, Jaipur",Scheduled
10,Match 68,Royal Challengers Bangalore,Kolkata Knight Riders,2025-05-17,7:30 pm IST,"M Chinnaswamy Stadium, Bengaluru",Scheduled
11,Match 69,Gujarat Titans,Chennai Super Kings,2025-05-18,3:30 pm IST,"Narendra Modi Stadium, Ahmedabad",Scheduled
12,Match 70,Lucknow Super Giants,Sunrisers Hyderabad,2025-05-18,7:30 pm IST,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Scheduled
13,Match 71,TBD,TBD,2025-05-20,7:30 pm IST,"Rajiv Gandhi International Stadium, Hyderabad",Scheduled
14,Match 72,TBD,TBD,2025-05-21,7:30 pm IST,"Rajiv Gandhi International Stadium, Hyderabad",Scheduled
15,Match 73,TBD,TBD,2025-05-23,7:30 pm IST,"Eden Gardens, Kolkata",Scheduled
16,Match 74,TBD,TBD,2025-05-25,7:30 pm IST,"Eden Gardens, Kolkata",Scheduled
