Player Name,Image URL,Detail Page URL,Unnamed: 3,role
SHREYAS IYER,https://documents.iplt20.com/ipl/IPLHeadshot2025/12.png,https://www.iplt20.com/teams/punjab-kings/squad-details/1563,,Batsman
NEHAL WADHERA,https://documents.iplt20.com/ipl/IPLHeadshot2025/1541.png,https://www.iplt20.com/teams/punjab-kings/squad-details/5859,,Batsman
VISHNU VINOD,https://documents.iplt20.com/ipl/IPLHeadshot2025/581.png,https://www.iplt20.com/teams/punjab-kings/squad-details/4305,,Wicketkeeper
JOSH INGLIS,https://documents.iplt20.com/ipl/IPLHeadshot2025/647.png,https://www.iplt20.com/teams/punjab-kings/squad-details/22372,,Wicketkeeper
HARNOOR PANNU,https://documents.iplt20.com/ipl/IPLHeadshot2025/784.png,https://www.iplt20.com/teams/punjab-kings/squad-details/22019,,Batsman
PYLA AVINASH,https://documents.iplt20.com/ipl/IPLHeadshot2025/3573.png,https://www.iplt20.com/teams/punjab-kings/squad-details/22145,,Batsman
PRABHSIMRAN SINGH,https://documents.iplt20.com/ipl/IPLHeadshot2025/137.png,https://www.iplt20.com/teams/punjab-kings/squad-details/5436,,Wicketkeeper
SHASHANK SINGH,https://documents.iplt20.com/ipl/IPLHeadshot2025/191.png,https://www.iplt20.com/teams/punjab-kings/squad-details/3261,,All-Rounder
MARCUS STOINIS,https://documents.iplt20.com/ipl/IPLHeadshot2025/23.png,https://www.iplt20.com/teams/punjab-kings/squad-details/964,,All-Rounder
GLENN MAXWELL,https://documents.iplt20.com/ipl/IPLHeadshot2025/28.png,https://www.iplt20.com/teams/punjab-kings/squad-details/282,,All-Rounder
HARPREET BRAR,https://documents.iplt20.com/ipl/IPLHeadshot2025/130.png,https://www.iplt20.com/teams/punjab-kings/squad-details/5441,,All-Rounder
MARCO JANSEN,https://documents.iplt20.com/ipl/IPLHeadshot2025/586.png,https://www.iplt20.com/teams/punjab-kings/squad-details/17068,,All-Rounder
AZMATULLAH OMARZAI,https://documents.iplt20.com/ipl/IPLHeadshot2025/1354.png,https://www.iplt20.com/teams/punjab-kings/squad-details/20685,,All-Rounder
PRIYANSH ARYA,https://documents.iplt20.com/ipl/IPLHeadshot2025/3571.png,https://www.iplt20.com/teams/punjab-kings/squad-details/22052,,Batsman
AARON HARDIE,https://documents.iplt20.com/ipl/IPLHeadshot2025/2704.png,https://www.iplt20.com/teams/punjab-kings/squad-details/22076,,All-Rounder
MUSHEER KHAN,https://documents.iplt20.com/ipl/IPLHeadshot2025/2813.png,https://www.iplt20.com/teams/punjab-kings/squad-details/22085,,All-Rounder
SURYANSH SHEDGE,https://documents.iplt20.com/ipl/IPLHeadshot2025/2146.png,https://www.iplt20.com/teams/punjab-kings/squad-details/20683,,All-Rounder
ARSHDEEP SINGH,https://documents.iplt20.com/ipl/IPLHeadshot2025/125.png,https://www.iplt20.com/teams/punjab-kings/squad-details/4698,,Bowler
YUZVENDRA CHAHAL,https://documents.iplt20.com/ipl/IPLHeadshot2025/10.png,https://www.iplt20.com/teams/punjab-kings/squad-details/111,,Bowler
VYSHAK VIJAYKUMAR,https://documents.iplt20.com/ipl/IPLHeadshot2025/2034.png,https://www.iplt20.com/teams/punjab-kings/squad-details/1097,,Bowler
YASH THAKUR,https://documents.iplt20.com/ipl/IPLHeadshot2025/1550.png,https://www.iplt20.com/teams/punjab-kings/squad-details/5624,,Bowler
LOCKIE FERGUSON,https://documents.iplt20.com/ipl/IPLHeadshot2025/69.png,https://www.iplt20.com/teams/punjab-kings/squad-details/3729,,Bowler
KULDEEP SEN,https://documents.iplt20.com/ipl/IPLHeadshot2025/1005.png,https://www.iplt20.com/teams/punjab-kings/squad-details/20616,,Bowler
XAVIER BARTLETT,https://documents.iplt20.com/ipl/IPLHeadshot2025/3572.png,https://www.iplt20.com/teams/punjab-kings/squad-details/22112,,Bowler
PRAVIN DUBEY,https://documents.iplt20.com/ipl/IPLHeadshot2025/548.png,https://www.iplt20.com/teams/punjab-kings/squad-details/3188,,Bowler
